categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp,nombre_caractères,nombre_maj,nombre_car_spé,caractères_spé,emojis_positifs_count,emojis_negatifs_count,commentaire_text,langue_bis
bank,Younited Credit ,Yves,APPLICATION PAS FORCEMENT A LA PORTEE…,APPLICATION PAS FORCEMENT A LA PORTEE DES PERSONNES QUI AVANCE EN AGE ET UNE BASE INFORMATIQUE LIMITE,,0.0,,2020-08-05,https://www.trustpilot.com/review/www.younited-credit.com?page=21,38,14-09-2024,1,0,0,0,2020,8,5,,101,85,0,,0,0,application pas forcement a la portee des personnes qui avance en age et une base informatique limite,fr
bank,Younited Credit ,SANDRINE,Simple et rapide .," May 21, 2021","Bonjour Madame,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous être pleinement satisfait de votre expérience Younited.Excellente journée,Hassan de l'équipe Younited Credit",0.0,,2021-05-21,https://www.trustpilot.com/review/www.younited-credit.com?page=17,38,14-09-2024,1,0,0,0,2021,5,21,,13,1,1,,0,0,"may 21, 2021",tl
bank,Monabanq ,M   CEZARY PIOTR K,Monabanque au quotidien,"Simple, interlocuteurs efficaces.L’appli mobile est très facile à utiliser.",,0.0,,2023-05-22,https://www.trustpilot.com/review/www.monabanq.com?page=1,4,14-09-2024,0,0,0,0,2023,5,22,,75,2,4,’,0,0,"simple, interlocuteurs efficaces.l appli mobile est très facile à utiliser.",fr
bank,Younited Credit ,BOULL VERO,Bon  simple et rapide," January 03, 2018",,0.0,,2018-01-03,https://www.trustpilot.com/review/www.younited-credit.com?page=31,38,14-09-2024,0,0,0,0,2018,1,3,,17,1,1,,0,0,"january 03, 2018",id
bank,01 Banque en Ligne ,Leston,Un contenu simple et ludique qui m’a…,Un contenu simple et ludique qui m’a apporté toutes les réponses à mes questions.,,0.0,,2019-11-20,https://www.trustpilot.com/review/01banque-en-ligne.fr?page=2,3,14-09-2024,0,0,0,0,2019,11,20,,81,1,2,’,0,0,un contenu simple et ludique qui m a apporté toutes les réponses à mes questions.,fr
bank,Sumeria ,James,Simple and easy,"Simple, easy, I recommend it.",,0.0,,2023-03-27,https://www.trustpilot.com/review/sumeria.eu?page=19,51,14-09-2024,1,0,0,0,2023,3,27,,29,2,3,,0,0,"simple, easy, i recommend it.",en
bank,Younited Credit ,Faizy,Good service,Good service,,0.0,,2024-08-24,https://www.trustpilot.com/review/www.younited-credit.com?page=1,38,14-09-2024,0,0,0,0,2024,8,24,,12,1,0,,0,0,good service,hr
bank,BoursoBank ,M. JFLY Jim,People isn't really bank people,"People isn't really bank people Impossible to receive when problems Response at mail are very often incoherent and usefulness, no interest, problem understanding when demand no indicate name because lots problem, proces, saboted, block accounts...Families condamned at indemnity compensate and receive nothing, identity thief very often Recommend physical bank except french bank postal always scammers that really worst than bourso bank No need invest in this bank Boursorama a few years ago was very better Fortunately app is very great, lots possibility but sometimes impossible to unlock some accounts, progress is possible.I lost my time always with Bourso bank and pay very important fees. This bank become very bad bank",,0.0,,2024-08-23,https://www.trustpilot.com/review/boursobank.com?page=2,10,14-09-2024,0,0,0,0,2024,8,23,,726,11,14,',0,0,"people isn't really bank people impossible to receive when problems response at mail are very often incoherent and usefulness, no interest, problem understanding when demand no indicate name because lots problem, proces, saboted, block accounts...families condamned at indemnity compensate and receive nothing, identity thief very often recommend physical bank except french bank postal always scammers that really worst than bourso bank no need invest in this bank boursorama a few years ago was very better fortunately app is very great, lots possibility but sometimes impossible to unlock some accounts, progress is possible.i lost my time always with bourso bank and pay very important fees. this bank become very bad bank",en
bank,Fortuneo ,REMY,Facile et clair,Facile simple,,0.0,,2024-01-22,https://www.trustpilot.com/review/fortuneo.fr?page=4,10,14-09-2024,0,0,0,0,2024,1,22,,13,1,0,,0,0,facile simple,ro
bank,la Nef ,Philippe Coq,Avec la Nef la transparence est une évidence,Avec la Nef je sais exactement à quoi est utilisé mon argent puisque la Nef publie chaque année la liste des crédits qu'elle a octroyés.De plus je sais que la Nef est une des rares banque n'ayant aucune filiale dans des paradis fiscaux.,,0.0,,2022-12-17,https://www.trustpilot.com/review/www.lanef.com?page=3,6,14-09-2024,0,0,0,0,2022,12,17,,236,5,4,'',0,0,avec la nef je sais exactement à quoi est utilisé mon argent puisque la nef publie chaque année la liste des crédits qu'elle a octroyés.de plus je sais que la nef est une des rares banque n'ayant aucune filiale dans des paradis fiscaux.,fr
bank,Younited Credit ,WATERMOLEN,Rapide,"Rapide, efficace impeccable",,0.0,,2017-11-17,https://www.trustpilot.com/review/www.younited-credit.com?page=32,38,14-09-2024,0,0,0,0,2017,11,17,,27,1,1,,0,0,"rapide, efficace impeccable",es
bank,Qonto ,Kevin,tres content," March 19, 2021","Merci beaucoup Kevin,  pour votre soutien ! 💜",0.0,,2021-03-19,https://www.trustpilot.com/review/qonto.com?page=26,30,14-09-2024,0,0,0,0,2021,3,19,,15,1,1,,0,0,"march 19, 2021",cy
bank,Anytime ,THIERRY DELAPORTE,Parfait excellent," September 07, 2022","Bonjour Thierry, Merci pour votre fidélité et votre gentillesse 😁Ravie que vous soyez satisfait par notre Service Client ! A bientôt, Barbara - Anytime",0.0,,2022-09-07,https://www.trustpilot.com/review/anyti.me?page=6,14,14-09-2024,0,0,0,0,2022,9,7,,19,1,1,,0,0,"september 07, 2022",sv
bank,Qonto ,Jérôme,simple et rapide,simple et rapideBon support via le tchat,"Bonjour Jérôme, Merci d’avoir pris le temps de partager votre expérience à nos côtés. Nous vous invitons à nous contacter si vous avez la moindre question concernant l’utilisation de votre compte Qonto. Bonne journée. ☀️",0.0,,2024-02-09,https://www.trustpilot.com/review/qonto.com?page=11,30,14-09-2024,0,0,0,0,2024,2,9,,40,1,0,,0,0,simple et rapidebon support via le tchat,fr
bank,Britline ,David Pinnegar,If only all banks were like Britline,If only all banks were like Britline. In every way Britline scores and as British with interests in France we're extremely lucky to have such a service. Superb.,,0.0,,2024-04-03,https://www.trustpilot.com/review/britline.com?page=5,6,14-09-2024,0,0,0,0,2024,4,3,,160,7,4,',0,0,if only all banks were like britline. in every way britline scores and as british with interests in france we're extremely lucky to have such a service. superb.,en
bank,Britline ,Fracus Poorly,Ace!,"Have been a Credit Agricole Britline Customer for a number of years. I have always found them to be helpful, efficient and good value. Frankly, as an ex-pat I don't know how I would have managed without them. Love the service.",,0.0,,2024-05-20,https://www.trustpilot.com/review/britline.com?page=3,6,14-09-2024,0,0,0,0,2024,5,20,,226,10,8,-',0,0,"have been a credit agricole britline customer for a number of years. i have always found them to be helpful, efficient and good value. frankly, as an ex pat i don't know how i would have managed without them. love the service.",en
